State,State Name,Enterprise Size,Firms,Establishments,Employment,Annual_Payroll_1000k,Receipts_1000k,Year
0,United States,01: Total,"6,395,635","8,298,562","135,748,407","8,965,035,263","50,848,996,830","2,022"
0,United States,02: <5 employees,"4,029,041","4,035,233","6,295,615","354,954,498","2,084,288,587","2,022"
0,United States,03: 5-9 employees,"1,034,135","1,047,874","6,810,300","311,979,624","1,632,588,564","2,022"
0,United States,04: 10-19 employees,"656,917","694,360","8,844,269","419,510,542","2,026,799,227","2,022"
0,United States,05: <20 employees,"5,720,093","5,777,467","21,950,184","1,086,444,664","5,743,676,378","2,022"
0,United States,06: 20-99 employees,"561,160","752,126","21,976,701","1,174,599,502","5,813,332,502","2,022"
0,United States,07: 100-499 employees,"93,341","382,869","18,323,671","1,204,005,353","6,222,162,516","2,022"
0,United States,08: <500 employees,"6,374,594","6,912,462","62,250,556","3,465,049,519","17,779,171,396","2,022"
0,United States,09: 500+ employees,"21,041","1,386,100","73,497,851","5,499,985,744","33,069,825,434","2,022"
0,United States,01: Total,"6,294,604","8,148,606","128,346,299","8,278,573,947",,"2,021"
0,United States,02: <5 employees,"4,009,508","4,019,061","6,178,498","344,920,532",,"2,021"
0,United States,03: 5-9 employees,"1,021,829","1,036,956","6,726,092","301,779,028",,"2,021"
0,United States,04: 10-19 employees,"636,541","671,679","8,559,070","400,743,270",,"2,021"
0,United States,05: <20 employees,"5,667,878","5,727,696","21,463,660","1,047,442,830",,"2,021"
0,United States,06: 20-99 employees,"519,015","689,604","20,219,046","1,077,643,283",,"2,021"
0,United States,07: 100-499 employees,"88,023","365,365","17,268,572","1,103,595,973",,"2,021"
0,United States,08: <500 employees,"6,274,916","6,782,665","58,951,278","3,228,682,086",,"2,021"
0,United States,09: 500+ employees,"19,688","1,365,941","69,395,021","5,049,891,861",,"2,021"
0,United States,01: Total,"6,140,612","8,000,178","134,163,349","7,564,809,878",,"2,020"
0,United States,02: <5 employees,"3,828,482","3,836,380","6,018,364","295,178,934",,"2,020"
0,United States,03: 5-9 employees,"1,004,591","1,017,938","6,619,736","264,502,785",,"2,020"
0,United States,04: 10-19 employees,"638,663","671,519","8,603,841","353,229,567",,"2,020"
0,United States,05: <20 employees,"5,471,736","5,525,837","21,241,941","912,911,286",,"2,020"
0,United States,06: 20-99 employees,"552,921","720,625","21,706,889","978,968,376",,"2,020"
0,United States,07: 100-499 employees,"95,000","371,934","18,660,155","1,016,357,038",,"2,020"
0,United States,08: <500 employees,"6,119,657","6,618,396","61,608,985","2,908,236,700",,"2,020"
0,United States,09: 500+ employees,"20,955","1,381,782","72,554,364","4,656,573,178",,"2,020"
0,United States,01: Total,"6,102,412","7,959,103","132,989,428","7,428,553,593",,"2,019"
0,United States,02: <5 employees,"3,777,085","3,783,930","6,003,770","294,917,415",,"2,019"
0,United States,03: 5-9 employees,"1,013,629","1,026,898","6,681,959","267,500,052",,"2,019"
0,United States,04: 10-19 employees,"640,827","674,135","8,632,696","358,971,177",,"2,019"
0,United States,05: <20 employees,"5,431,541","5,484,963","21,318,425","921,388,644",,"2,019"
0,United States,06: 20-99 employees,"555,046","728,140","21,762,863","995,870,795",,"2,019"
0,United States,07: 100-499 employees,"94,957","375,232","18,612,620","1,008,135,146",,"2,019"
0,United States,08: <500 employees,"6,081,544","6,588,335","61,693,908","2,925,394,585",,"2,019"
0,United States,09: 500+ employees,"20,868","1,370,768","71,295,520","4,503,159,008",,"2,019"
0,United States,01: Total,"6,075,937","7,912,405","130,881,471","7,097,310,272",,"2,018"
0,United States,02: <5 employees,"3,752,163","3,757,907","5,967,955","287,379,518",,"2,018"
0,United States,03: 5-9 employees,"1,013,047","1,025,876","6,676,167","260,867,147",,"2,018"
0,United States,04: 10-19 employees,"645,970","680,297","8,693,150","350,627,386",,"2,018"
0,United States,05: <20 employees,"5,411,180","5,464,080","21,337,272","898,874,051",,"2,018"
0,United States,06: 20-99 employees,"550,877","730,047","21,581,537","960,698,526",,"2,018"
0,United States,07: 100-499 employees,"93,364","371,181","18,325,222","959,517,328",,"2,018"
0,United States,08: <500 employees,"6,055,421","6,565,308","61,244,031","2,819,089,905",,"2,018"
0,United States,09: 500+ employees,"20,516","1,347,097","69,637,440","4,278,220,367",,"2,018"
0,United States,01: Total,"5,996,900","7,860,674","128,591,812","6,725,346,754","37,370,079,416","2,017"
0,United States,02: <5 employees,"3,698,086","3,703,759","5,937,081","276,569,783","1,570,288,005","2,017"
0,United States,03: 5-9 employees,"1,009,851","1,022,121","6,656,073","254,516,757","1,280,903,563","2,017"
0,United States,04: 10-19 employees,"631,981","666,636","8,503,293","338,015,193","1,579,668,564","2,017"
0,United States,05: <20 employees,"5,339,918","5,392,516","21,096,447","869,101,733","4,430,860,132","2,017"
0,United States,06: 20-99 employees,"544,485","738,566","21,348,103","928,144,057","4,394,929,596","2,017"
0,United States,07: 100-499 employees,"92,358","381,720","18,111,531","914,291,189","4,493,292,131","2,017"
0,United States,08: <500 employees,"5,976,761","6,512,802","60,556,081","2,711,536,979","13,319,081,859","2,017"
0,United States,09: 500+ employees,"20,139","1,347,872","68,035,731","4,013,809,775","24,050,997,557","2,017"
